text,dep,des
Je cherche un train depuis Paris pour Marseille,Paris,Marseille
Je suis à la recherche d’un billet depuis Paris pour Lyon,Paris,Lyon
Est ce qu’il y’a un train pour Paris depuis Strasbourg ?,Strasbourg,Paris
Y’a-t-il un trajet depuis Reims pour Châlons-en-Champagne ?,Reims,Châlons-en-Champagne
Un train pour Lyon à partir de Saint-Etienne,Saint-Etienne,Lyon
Un trajet de Paris à Reims,Paris,Reims
Un train de Rennes à Bordeaux,Rennes,Bordeaux
Un train pour Reims depuis Strasbourg,Strasbourg,Reims
Un trajet pour Lyon depuis Nîmes,Nîmes,Lyon
Est ce qu’il y’a des trains de Gare de l’Est à Strasbourg ?,Gare de l’Est,Strasbourg
Je veux partir à Lille depuis Gare du Nord,Gare du Nord,Lille
Peux tu me trouver un trajet Reims/Paris ?,Reims,Paris
Y’a-t-il un train qui va de Bordeaux à Biarritz ?,Bordeaux,Biarritz
Je recherche un train de Nice à Lyon,Nice,Lyon
Comment je peux aller de Paris à Lyon,Paris,Lyon
Donne moi un train depuis Orléans jusqu’à Rouen,Orléans,Rouen
Comment je me rend à Paris depuis Nancy ?,Nancy,Paris
J’ai besoin de me rendre à Marseille en partant de Grenoble,Grenoble,Marseille
De Troyes à Reims,Troyes,Reims
Trouve moi un trajet de Paris à Valence,Paris,Valence
Trouve moi un train qui part de Nice à Fréjus,Nice,Fréjus
Quel est le meilleur moyen de rejoindre Saint-Quentin depuis Meaux ?,Meaux,Saint-Quentin
Je veux obtenir le trajet de Paris à Hyères,Paris,Hyères
Obtient moi un train depuis Chambéry jusqu’à Gare de Lyon,Chambéry,Gare de Lyon
Je cherche un train pour Clermont-Ferrand depuis Vichy,Vichy,Clermont-Ferrand
